text,intent
"Hello there, hope you're having a good day",greeting
How do I turn off promotional emails but keep order updates?,account_management
Can you tell me if seasonal promotions differ for existing versus new subscribers,promotions
Why was I only refunded for one item when I returned the entire set,refund
want to create account but worried about spam emails after,account_creation
Can you tell me the average delivery condition feedback for fragile items like this,product_inquiry
is cancellation instant or does it take time to process,cancel_order
I need this cancelled since it was a test order I placed by mistake,cancel_order
Can I return an item without the original packaging?,refund
"Hey, quick hello before my actual question",greeting
New account please,account_creation
Is same-day delivery available for perishable items specifically,shipping_info
Can you tell me if there's a special rate for renewing memberships early,promotions
"The item I received doesn't match the description, refund please",refund
I want to know where ORD1125 is,order_tracking
order says in transit but stuck same city for days,order_tracking
Please remove my old phone number and add the new one,account_management
"I've been going in circles with the bot, please help directly",human_handoff
Can support confirm cancellation before my auto-pay tries to charge me again,cancel_order
Do you deliver to PO boxes?,shipping_info
"My account recovery texts are going to my old number, how do I redirect them",account_recovery
Do you provide shipment consolidation for customers ordering frequently,shipping_info
Does this require batteries?,product_inquiry
need to stop this order from processing,cancel_order
"Recovery page shows a spinning loader forever, is it broken",account_recovery
Do you provide same-day delivery slots that can be booked in advance,shipping_info
"Hello, hope you don't mind a random question",greeting
How many units are left in stock right now?,product_inquiry
I'd like to join,account_creation
What's the typical delay during monsoon season for deliveries?,shipping_info
Can you confirm if this comes with a global or region-locked warranty,product_inquiry
trying to edit my details but the save button isnt working,account_management
Is anyone from the real team monitoring this chat?,human_handoff
is it in stock,product_inquiry
Can you tell me if there's a discount for orders placed through voice assistants,promotions
"Good evening, quick favor to ask",greeting
need to update my tax information for invoices,account_management
Is the support team online right now?,greeting
account frozen after i tried logging in from abroad,account_recovery
"Please cancel, I realized I need a different warranty option not offered on this listing",cancel_order
Do you provide shipping updates via WhatsApp,shipping_info
Can I get a refund for an item I never actually received?,refund
Chk order status,order_tracking
Can I request a specific driver if I've had a good experience before,shipping_info
Is there a lighter or travel-friendly version of this product,product_inquiry
can someone senior look into this personally,human_handoff
account recovery stuck at verification step for hours,account_recovery
is there no option for live agent chat,human_handoff
I'm locked out of my account,account_recovery
"I'm trying to sign up from outside the country, is that allowed?",account_creation
Can you confirm if my order qualifies for click-and-collect at a nearby store,shipping_info
i dont have the old device anymore that had 2fa set up,account_recovery
"Hi, this is my first time reaching out to you guys",greeting
Good morning,greeting
Can you check why the refund policy differs for this specific category of item,refund
I need to update my emergency contact information,account_management
I need to escalate this beyond the first level of support,human_handoff
"I placed this order by mistake this morning, can it still be cancelled?",cancel_order
Is there a way to see all active promotions in one place,promotions
Can you verify if an early payment discount was correctly applied,billing_inquiry
"This bot isn't helping, please transfer me",human_handoff
I want to opt out of SMS notifications entirely,account_management
Is there someone available right now who can take over this conversation,human_handoff
HP printer details,product_inquiry
Is ORD1124 out for delivery?,order_tracking
Is there an offer tied to using a specific delivery address repeatedly,promotions
"my package shows customs clearance pending, how long does that take",order_tracking
billing amount doesnt match what i saw at checkout,billing_inquiry
Is there a way to bundle shipping across multiple sellers into one delivery,shipping_info
how long b4 refund reflects in my account,refund
Do I need an email to register?,account_creation
Any offers on this product specifically?,promotions
"Hello, I hope I'm reaching the right place",greeting
Can I set a secondary approver for changes made to my business account,account_management
I can't access my account anymore,account_recovery
Can you check if my saved coupon expired right before I used it,billing_inquiry
tracking page frozen on same status for ages,order_tracking
Edit my profile,account_management
I want this cancelled urgently since I'm returning the gift I already have,cancel_order
"The system says my account is under review, what does that mean for recovery",account_recovery
Can you confirm the shelf life once the package is opened,product_inquiry
"Hello, back with yet another small question",greeting
"Please unlock my account, I've been trying since this morning",account_recovery
can you delete my old phone number from the system entirely,account_management
Can you tell me if this ships with a protective screen already applied,product_inquiry
Can you patch me through to someone in billing specifically?,human_handoff
i need someone to manually verify and unlock my account,account_recovery
the refund promised on my bill hasnt reflected yet,billing_inquiry
Can you get someone to confirm in writing that this will be resolved by tomorrow,human_handoff
"I need my order urgently, can you expedite the shipping status check?",order_tracking
Is this dishwasher safe?,product_inquiry
Is there a cutoff time today after which cancellation won't be possible,cancel_order
Any festival sale details?,promotions
"Is this suitable for use in commercial or shared spaces, not just personal use",product_inquiry
Can support directly call the driver assigned to my delivery,order_tracking
Keyboard price,product_inquiry
Can you tell me if this comes with an option for extended technical support,product_inquiry
Sign me up,account_creation
Gaming monitor information,product_inquiry
"Half the refund amount is missing, where's the rest?",refund
"I want a real person, not a bot",human_handoff
My account seems to have merged with someone else's by mistake,account_recovery
Is there a student discount?,promotions
Can you verify if my refund request was auto-approved or needs manual review,refund
can u tell me the current location of my order,order_tracking
How do I reset my password?,account_recovery
Can someone check why my order skipped a scheduled hub,order_tracking
Can I request a customized engraving on this product?,product_inquiry
I need this cancelled since the promised launch date passed already,cancel_order
I want to change my account's time zone setting,account_management
Show me Bluetooth speakers,product_inquiry
loyalty points expire hote hai kya,promotions
Is there a discount code for existing customers?,promotions
I need this cancelled because it no longer matches my renovated space's dimensions,cancel_order
Can support confirm if refund eligibility differs for clearance sale items,refund
Has ORD1109 been delivered?,order_tracking
Is there a way to flag this conversation for supervisor review immediately,human_handoff
"I forgot to add my address during signup, can I add it now?",account_creation
Why did my payment method get charged despite selecting installments,billing_inquiry
My EMI amount deducted is different from what was agreed,billing_inquiry
Can delivery be tracked jointly if multiple people share one address,shipping_info
"Hi, thanks for the assistance last time, back again",greeting
Is my order on the way?,order_tracking
I clicked forgot password but no email came through at all,account_recovery
Track package ORD1163,order_tracking
how 2 stop this order,cancel_order
"Good afternoon, here with a follow-up question",greeting
Can you confirm if returning customers get priority access to sales,promotions
"Hello, thanks for jumping on chat with me",greeting
"I opened the box and it was completely empty, I need a refund",refund
My delivery tracking shows a completely wrong recipient name,order_tracking
I demand to speak with a manager immediately,human_handoff
I was refunded to the wrong payment method,refund
Why does my statement show pending even though the order was delivered weeks ago,billing_inquiry
I no longer have access to my old sim card for OTP verification,account_recovery
Do you offer combined delivery tracking for orders from multiple warehouses,shipping_info
my tracking id shows invalid,order_tracking
"Hi, quick greeting before I get into my issue",greeting
do you guys deliver to apartments with security gates fine,shipping_info
"Good night, sorry for the late message but I needed help",greeting
Can you confirm if promotional bundles can be customized before purchase,promotions
I need help updating recurring delivery preferences,account_management
Can you confirm if this discount is valid on already discounted items,promotions
Is this suitable for people with specific dietary restrictions,product_inquiry
Can I apply a coupon after checkout instead of before?,promotions
I need to recover access before an important sale ends today,account_recovery
Please locate order ORD1057,order_tracking
why does the total not match the cart summary i saw,billing_inquiry
"Hey, is it okay to ask a general question here?",greeting
registration process pls,account_creation
Can you check if my billing was affected by a recent system migration,billing_inquiry
Is there someone who can review both my past interactions before responding,human_handoff
The refund I received doesn't include the shipping fee I paid,refund
Is there an offer for customers who've had a recent support issue resolved,promotions
Cancel now please,cancel_order
is dis suitable for humid climates,product_inquiry
Hello hello,greeting
I need to know if refund timelines differ between debit and credit cards,refund
Can you help me set which address shows up by default at checkout,account_management
Can I update the account language without changing the region,account_management
Yo,greeting
Money got deducted but the order wasn't placed,billing_inquiry
"Want to make a new profile, what info do you need from me?",account_creation
"I entered the wrong size, can I cancel and reorder instead?",cancel_order
Can billing check if my loyalty discount was reflected in the final total,billing_inquiry
Is there a discount tier based on how long I've been a customer,promotions
"please escalate my account recovery, its been days now",account_recovery
"Hey, I'll try to keep this brief",greeting
Tell me about Keyboard,product_inquiry
I need clarification on a foreign transaction fee that appeared,billing_inquiry
I need clarification on additional charges listed as 'miscellaneous fees',billing_inquiry
my account got logged into from an unknown device,account_recovery
I want to update my saved vehicle details for delivery instructions,account_management
need help changing my display name,account_management
Hey ya,greeting
I need this order cancelled since I'm no longer eligible for the discount used,cancel_order
Is this product eco-friendly or biodegradable?,product_inquiry
I want to cancel since I found a bundle deal that's better value,cancel_order
I need a human to double check this before I proceed further,human_handoff
Is this item compatible with international power outlets,product_inquiry
"Hey, my name is Rahul, I have a query",greeting
Give me status on ORD1010 please,order_tracking
do you use different couriers for different regions,shipping_info
I want proof that my package actually exists in the courier's system,order_tracking
I need to update my account details,account_management
Delivery status for ORD1071,order_tracking
Is there a discount if I opt out of cash on delivery,promotions
any student ofer available,promotions
getting billed for a service i never subscribed to,billing_inquiry
Show me all Laptops,product_inquiry
Can support cancel an order that's stuck in a processing loop,cancel_order
Can you confirm whether my order left the origin facility yet,order_tracking
"Hey, checking if anyone's free to help right now",greeting
Is there an offer for customers who pre-register interest in upcoming products,promotions
do u deliver outside india,shipping_info
Is there a difference in quality between the online and in-store version,product_inquiry
The tracking link you sent just shows a blank page,order_tracking
want to remove my account from marketing lists,account_management
How many days for delivery?,shipping_info
Is anyone there?,greeting
want to update everything before my next order ships,account_management
I need my invoice,billing_inquiry
The refund amount credited is less than what I paid,refund
Create a new profile for me,account_creation
Can support confirm if the refund includes any cashback originally earned,refund
Can I use a temporary email to register?,account_creation
Can shipping estimates change after an order is already placed,shipping_info
I need an update since my package has been at the same hub for days,order_tracking
wanna cancel coz i ordered wrong size,cancel_order
How to make a new account,account_creation
"the reset link opens a blank page, is it broken",account_recovery
Can you confirm if a billing dispute automatically pauses further charges,billing_inquiry
how do i fix the 'email already registered' error,account_creation
Pass reset,account_recovery
Create account,account_creation
Is there a signup fee?,account_creation
Why does the app show conflicting refund statuses on different screens,refund
been waiting all week for this delivery,order_tracking
What's the return policy specifically for electronics like this?,product_inquiry
The invoice I received doesn't match the items I actually ordered,billing_inquiry
I need to change the account holder name for billing,account_management
Do you send a welcome email after account creation?,account_creation
Show Sony products,product_inquiry
I need to register two separate profiles for my two shops,account_creation
Can shipping timelines be affected by regional lockdowns or restrictions,shipping_info
Does this come with a user manual in my language?,product_inquiry
"The app shows my order was 'returned to sender', why would that happen?",order_tracking
Can you confirm the exact voltage requirements for this appliance,product_inquiry
Update my shipping address,account_management
"need account to leave a review, how do i sign up",account_creation
any cashbck offer,promotions
"Hi, hoping to get a quick answer today",greeting
What's happening with ORD1168?,order_tracking
I want to cancel because shipping to my area got suspended temporarily,cancel_order
acc suspended help,account_recovery
Is there a live agent queue I can join right now,human_handoff
"please cancel, this was clearly a duplicate transaction",cancel_order
Can I gift my loyalty points to someone else?,promotions
Can you give me a direct phone number to reach a person?,human_handoff
Reset my password please,account_recovery
Does the price include installation charges?,product_inquiry
"Hi, glad I found this chat option",greeting
Tell me about Monitor,product_inquiry
I need to know if returning a gifted item still refunds the original buyer,refund
Can billing errors from a previous invoice be adjusted in the next one,billing_inquiry
I need to know if my order is stuck in customs,order_tracking
Can I exchange instead of getting a refund?,refund
"I already uploaded proof of the damaged item, what's the delay?",refund
Is there a discount for paying the full amount upfront instead of EMI?,promotions
Help me recover my account,account_recovery
Is there a loyalty bonus specifically for reviewing purchased products,promotions
Do you have same-day delivery for groceries specifically?,shipping_info
"item broken, need rfund",refund
"I think someone else accessed my account, please secure it",account_recovery
"Can you speed up my refund, I need the money urgently?",refund
Are there any discounts available?,promotions
"Hi, just want to say your support has been great so far",greeting
Can I sign up through a kiosk at your physical store,account_creation
Is there a chance my order is sitting unclaimed somewhere,order_tracking
How can I cancel a pending order?,cancel_order
What's the difference between the two models?,product_inquiry
Can you confirm if taxes were calculated based on my correct region,billing_inquiry
is signing up complicated or quick,account_creation
My refund shows processed but the bank hasn't credited it yet,refund
I need to update the account recovery contact separately from login email,account_management
Is this compatible with accessibility tools for differently-abled users,product_inquiry
whats the actual reason for this shipping delay,order_tracking
Is shipping pricing different for oversized but lightweight items,shipping_info
My two-factor authentication code isn't being accepted,account_recovery
Is there a way to get prioritized human support given my account tenure,human_handoff
I want a daily update on my order until it arrives,order_tracking
Is there a special discount during clearance of last season's stock,promotions
I ordered two items together but only one is showing tracking updates,order_tracking
Can support confirm whether recurring billing dates can be shifted to match payday,billing_inquiry
Is there a way to request a translator along with a human agent,human_handoff
Can you locate my order?,order_tracking
How do I get my money back?,refund
do you offer split delivery for large multi item orders,shipping_info
"Hello, thanks for picking up so quickly",greeting
"My account got locked right after I updated the app, coincidence or bug",account_recovery
Can you confirm if shipping includes assembly for large furniture items,shipping_info
Register me please,account_creation
whats the catch with this festival discount,promotions
Does international shipping include customs duties in the price?,shipping_info
Can you escalate this directly to whoever manages refunds specifically,human_handoff
Is there a way to get notified before a sale officially starts?,promotions
I want to know if my order requires ID verification upon delivery,order_tracking
can i register without agreeing to marketing emails,account_creation
I filled the registration form but never got a confirmation email,account_creation
"Hey, one more question if you don't mind",greeting
I need to dispute a charge I don't recall authorizing,billing_inquiry
"Hey, I placed an order last Tuesday and I'm getting worried since there's been no movement on tracking, could you look into it?",order_tracking
need to fix account info,account_management
Is there a way to reach the support head directly for a serious complaint,human_handoff
The recovery process is asking for details I don't remember,account_recovery
Why was I charged a restocking fee I wasn't told about,billing_inquiry
What's the shelf life of this item?,product_inquiry
Can you confirm if this offer is valid only on the first purchase after signup,promotions
any partnership discounts with other brands right now,promotions
Is there an anniversary sale event I should know about?,promotions
need actual agent not bot,human_handoff
"want to sign up my elderly parent, any simplified process",account_creation
Why does the refund confirmation email reference a different order number,refund
Change my delivery address,account_management
account recovery page loads forever and times out,account_recovery
"Hello, glad this chat exists, saves me a phone call",greeting
trying to cancel from the app but keep getting an error,cancel_order
Can I cancel part of my order and keep the rest?,cancel_order
I want to update my profile visibility settings,account_management
"cant login because the app says version mismatch, but i cant update either",account_recovery
Need to unlock my account,account_recovery
is dis genuine or fake,product_inquiry
is express delivery costly,shipping_info
the charge on my statement looks unfamiliar,billing_inquiry
"registering for a webinar, do i need a full account",account_creation
can i still cancel or is it too late now,cancel_order
Can you verify if a promotional credit was properly applied to my bill,billing_inquiry
Can I combine two discount codes?,promotions
Can you confirm if this item is manufactured in-house or by a third party,product_inquiry
Can support check if my order's barcode was scanned incorrectly,order_tracking
Can I unlink my social media login from this account?,account_management
"Hello, thanks for the quick turnaround usually",greeting
Is there a dedicated team for issues that bots can't resolve,human_handoff
Cancel order,cancel_order
Can shipping be split so part arrives faster and the rest later,shipping_info
I need help completing my profile setup after signing up,account_creation
Can I get a live update on where my parcel is right now?,order_tracking
The recovery link works but then shows an unrelated error page,account_recovery
Can I create an account through a QR code on your packaging,account_creation
Can you tell me if there's a way to donate unused loyalty points to charity,promotions
"I heard there's a big sale coming up, when does it start?",promotions
Why does the refund amount reflect a lower exchange rate than when I paid,refund
Any first order discount?,promotions
I need to change my consent for personalized ads,account_management
How do I create an account for my small business?,account_creation
"Please cancel this order, the color option I wanted is different",cancel_order
Do you provide insurance for high-value shipments?,shipping_info
this order needs to be cancelled urgently,cancel_order
Tell me about Smartphone,product_inquiry
order marked shiped but nothin recieved,order_tracking
Good evening,greeting
Anyone available?,greeting
My card got charged even though I selected cash on delivery,billing_inquiry
Can you check if a refund delay is linked to a bank processing holiday,refund
"I need this handled by an actual person, not automated replies",human_handoff
"billing support said this would be fixed last week, still pending",billing_inquiry
I need this refund case reopened since it was closed without resolution,refund
battery life kitni hai iski,product_inquiry
The recovery process wants an old password I genuinely can't recall,account_recovery
wat comes in the box,product_inquiry
Tell me about Smartwatch,product_inquiry
Is it too late to cancel?,cancel_order
"Please cancel, I want to combine it with another order for free shipping",cancel_order
paymnt shows failed but bank says deducted,billing_inquiry
"My colleague set up an account for me, how do I take ownership of it?",account_creation
"my order stuck somewhere, plz chek",order_tracking
I need this refund escalated since customer care hasn't responded in days,refund
How do I change my username?,account_management
Is delivery time affected by the payment method chosen,shipping_info
Forgot pass,account_recovery
does dis need assembly,product_inquiry
Is there a fallback recovery method if email and phone both fail,account_recovery
"Hey, before I ask my question, are you live 24/7?",greeting
my recovery questions dont match what i originally set,account_recovery
warrenty details for dis item,product_inquiry
Can you get someone from the escalations team to call me back today,human_handoff
"Good morning, ready to get some help sorted",greeting
Does this come with a warranty?,product_inquiry
Can you tell me the exact dimensions of this item?,product_inquiry
whats the delivery time for metro cities,shipping_info
Why does my statement show the transaction in a different currency,billing_inquiry
Can you confirm if my payment actually went through on your end?,billing_inquiry
Can you tell me if referral rewards expire after a certain time,promotions
Can you escalate this to whoever handles complaints of this nature,human_handoff
Can you cancel my order if I mistakenly selected the wrong payment plan,cancel_order
How long does a refund take to process?,refund
cant find my invoice anywhere on the app,billing_inquiry
"Is there a way to cancel recurring orders permanently, not just once",cancel_order
My order confirmation came through but there's no tracking link yet,order_tracking
Why was my refund request denied without any reason given?,refund
My subscription was charged after I cancelled it,billing_inquiry
Can you cancel my order even though it says already packed?,cancel_order
is there a way to register through the app instead of website,account_creation
I want to create an account,account_creation
can i cancel if the order status already says shipped,cancel_order
Can you cancel one unit from an order with multiple quantities,cancel_order
is registration instant or does it need approval,account_creation
Can you connect me with someone who can make an exception here,human_handoff
"I keep getting an error saying the username is taken, any suggestions?",account_creation
Why was my refund split into multiple smaller amounts instead of one transaction,refund
I need a live agent since I've already tried every automated option available,human_handoff
referral link se kya milta hai,promotions
Why was there a delay between payment and invoice generation,billing_inquiry
"Hello, I need to ask something",greeting
Do you have any Sony headphones?,product_inquiry
Can you check if weather conditions are affecting my delivery region,order_tracking
There's a small unexplained fee added to my final bill,billing_inquiry
Can I have my order delivered to a friend's address instead of mine?,shipping_info
My delivery partner's tracking page shows an error for my order ID,order_tracking
"trying to make an account for my shop, whats required",account_creation
my old email bounced back the recovery link,account_recovery
"Hi, what are your support hours?",greeting
"There's a duplicate charge on my statement, please help",billing_inquiry
is same day delivery status different from standard tracking,order_tracking
Delivery status,order_tracking
"Hey, hope I'm not messaging too late",greeting
Can you confirm the maximum weight capacity this product can handle,product_inquiry
Does your shipping cover installation for large appliances?,shipping_info
"Hey, thanks for the quick reply earlier",greeting
is delivery slower during sale season,shipping_info
"Hi, glad to finally get through to someone",greeting
Where's my receipt?,billing_inquiry
do i need to fill in payment details while registering,account_creation
"I think I typed my email wrong while signing up, so I can't recover it",account_recovery
can i get refund credited to a different card than i paid with,refund
"Hi, thanks for setting up this chat option",greeting
"I've waited long enough, can you escalate the shipment check?",order_tracking
"Hey, appreciate you responding so fast",greeting
I need to know if opened packaging disqualifies me from a full refund,refund
Can support verify if this refund request duplicates one I already filed,refund
is the courier even moving my package,order_tracking
Are there any hidden offers I might be missing on the homepage?,promotions
My refund request keeps getting rejected without explanation,refund
Do you offer birthday discounts for registered users?,promotions
is there a cutoff day before which express doesnt apply,shipping_info
Can you verify if today's public holiday is delaying my shipment,order_tracking
Can shipping charges be refunded if delivery is significantly delayed,shipping_info
i think my account was hacked last night,account_recovery
Can you check if the courier attempted delivery while I was out,order_tracking
I want to cancel due to a price drop I saw after ordering,cancel_order
Update the payment method on file,account_management
Is there an offer for bundling a warranty extension with a promotional purchase,promotions
Please guide me through the registration process,account_creation
Is there an option for delivery personnel to wait a few extra minutes if I'm running late,shipping_info
stop shippin my order,cancel_order
Can you cancel my order if I already contacted the courier?,cancel_order
What's the price of this item?,product_inquiry
Can you cancel my order given the manufacturer just issued a safety notice,cancel_order
can u explain this random fee added,billing_inquiry
"I changed my mind, please cancel it",cancel_order
"account setup taking forever, is this normal",account_creation
Is this suitable for professional certification or just casual training,product_inquiry
can you help me set a nickname for my saved address,account_management
wrong charge on my card,billing_inquiry
Can you tell me if this supports voice control integration,product_inquiry
How do I know if my registration went through successfully?,account_creation
parcel not recieved,order_tracking
Good afternoon,greeting
Is this suitable for professional use or just casual?,product_inquiry
Is same-day delivery available in my area?,shipping_info
how many steps are involved in creating an account,account_creation
Package location,order_tracking
Can you cancel my order and apply the refund to a different order instead,cancel_order
Can you track ORD1052 for me?,order_tracking
Do you offer a lite shipping option for budget-conscious customers,shipping_info
Can support confirm whether my billing cycle changed recently,billing_inquiry
I want to cancel just one item from a multi-item order,cancel_order
help me set up my first account please,account_creation
Why does my invoice PDF differ from the summary shown in my order history,billing_inquiry
Do returning customers get better deals than new sign-ups?,promotions
promo code available,promotions
Is there an option to pick up my order instead of having it delivered?,shipping_info
Payment shows as pending for two days now,billing_inquiry
Can a support agent walk me through recovery over a call,account_recovery
Can you confirm if signature is required upon delivery for my order,order_tracking
Is this suitable for extreme cold climates specifically,product_inquiry
Is delivery cost different for cash versus card payments,shipping_info
"Hello, I'll keep this short, just have one question",greeting
recieved wrong bill amount,billing_inquiry
Can you connect me with a representative who handles VIP or priority accounts,human_handoff
Can you arrange for someone to call me since typing this out is difficult,human_handoff
I want to update my account's linked social causes for donation rounding,account_management
is my data safe when i register here,account_creation
Is there a chance the package got lost in transit?,order_tracking
Can you confirm if a discount applies automatically at renewal without action needed,promotions
Is there a discount for subscribing to the newsletter?,promotions
trying to cancel but app shows no option,cancel_order
I need this reviewed by a person who understands the technical side better,human_handoff
Can you tell me if there's a way to earn bonus points during off-peak hours,promotions
My tracking number works on your site but not the courier's own site,order_tracking
Does signing up automatically subscribe me to a newsletter,account_creation
I want to switch my account's associated store location,account_management
My order's estimated delivery keeps resetting every time I check,order_tracking
is dis product covered for accidental damage separately,product_inquiry
sale going on?,promotions
I need clarity on why my order is delayed beyond the promised window,order_tracking
I'd like to set up a business account instead of a personal one,account_creation
Is there a way to know in advance which items will be part of next month's sale,promotions
Can support check if currency rounding caused the slight mismatch in my total,billing_inquiry
Can you check if a promo code was applied correctly to my bill?,billing_inquiry
package sposed to come today but nothing,order_tracking
Can I get a refund even though the return window technically closed yesterday?,refund
I need an explanation for a charge that appeared weeks after delivery,billing_inquiry
Does shipping cost change based on package weight?,shipping_info
getting locked out every time i enter password wrong twice,account_recovery
Is this product safe for children to use?,product_inquiry
colour options available,product_inquiry
"Good evening, one quick thing before I log off",greeting
"I'm being charged a fee I don't recognize, can you clarify it?",billing_inquiry
I need this billing discrepancy resolved before my next payment cycle,billing_inquiry
Is there a way to gift a discount code to a friend,promotions
Can I get delivery confirmation via SMS instead of email?,shipping_info
material quality kaisi hai,product_inquiry
What laptops do you have in stock?,product_inquiry
"card charged twice, refund the extra pls",billing_inquiry
How can I update my notification preferences?,account_management
My wallet balance was deducted without any order being placed,billing_inquiry
Do you offer scheduled delivery for special occasions like birthdays?,shipping_info
"Hello, I've never used this chat before, how does it work?",greeting
is dis waterproof,product_inquiry
I need this order cancelled before the warehouse processes it further,cancel_order
Can cancellation be done through customer care if the app fails,cancel_order
how do i change my communication preference to whatsapp only,account_management
delivery boy didnt show up today at all,order_tracking
"Hi, I was told to reach out here for support",greeting
is dis suitable for gifting purposes,product_inquiry
"Hey, first time using this chat",greeting
Is there an escalation contact I can reach directly via email instead,human_handoff
any special ofer for regular customers,promotions
My account recovery email landed in a folder I don't check often,account_recovery
Is there a way to view and edit my full profile history,account_management
I paid using a gift card but was still charged the full amount,billing_inquiry
loyalty points kaise use kre,promotions
Can I recover using a previous transaction as proof of ownership,account_recovery
Is there a special promotion tied to specific national holidays only,promotions
I need to talk to someone who can actually help,human_handoff
"trying to update my email verification, keeps failing",account_management
Is there a way to request a callback within a specific time window,human_handoff
Show Apple products,product_inquiry
login isnt workin,account_recovery
Do you offer carbon-neutral shipping options,shipping_info
Is there a way to check historical discounts I've used before,promotions
How do I cancel an order?,cancel_order
Can this be used outdoors in rainy conditions?,product_inquiry
my emi got debited twice this month,billing_inquiry
"Good morning, hope you had a nice weekend",greeting
"My daughter wants to make her own account, can minors sign up?",account_creation
"I ordered twice by mistake, please cancel one of them",cancel_order
Can support cancel bulk orders differently than single item orders,cancel_order
Can you connect me with someone who reviews cases involving multiple failed attempts,human_handoff
How do I deactivate my account?,account_management
"I keep getting logged out automatically, is that a bug?",account_recovery
Do you offer assisted registration over a phone call,account_creation
Is there an offer for customers who complete their profile fully,promotions
want to update my account photo to something more professional,account_management
Check delivery of ORD1032,order_tracking
want to create account specifically for tracking my gift order,account_creation
Is there a way to verify my identity using a previous order number instead,account_recovery
can dis be used by both adults and kids,product_inquiry
Can you help me reduce the number of saved payment methods,account_management
I need to know the fastest refund method available for urgent cases,refund
any ofers rn,promotions
Morning!,greeting
wheres the delivery guy,order_tracking
Can support confirm if seasonal sale items have different refund rules,refund
transfer this chat to actual support staff,human_handoff
Is this product part of a limited edition run,product_inquiry
do yall deliver on sundays,shipping_info
I want to cancel one bundle item but keep the rest of the combo,cancel_order
My order status hasn't changed in three days straight,order_tracking
